date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:19	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:21%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10385	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10385	(from https://doj.gov.in/digitization-of-records/)
15:06:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:20%20GMT	https://doj.gov.in/?p=10375	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/index5c6e.html	(from https://doj.gov.in/secure-scalable-sugamya-website-as-a-service-s3waas/)
15:06:20	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:21%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fdigitization-of-records%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embedcee6	(from https://doj.gov.in/digitization-of-records/)
15:06:20	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:22%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fdigitization-of-records%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embeddff8	(from https://doj.gov.in/digitization-of-records/)
15:06:20	63656/63656	---M--	200	added ('OK')	image/jpeg	etag:%2232e9dd3eabafd8d101c345ebb7fd56e8%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030252.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030252.jpg	(from https://doj.gov.in/digitization-of-records/)
15:06:21	105478/105478	---M--	200	added ('OK')	image/jpeg	etag:%228f0cc6c8acbf617034f38de46148e155%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030233.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030233.jpg	(from https://doj.gov.in/digitization-of-records/)
15:06:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:21%20GMT	https://doj.gov.in/?p=10385	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/indexc927.html	(from https://doj.gov.in/digitization-of-records/)
15:06:21	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:22%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10372	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10372	(from https://doj.gov.in/information-education-communication-iec/)
15:06:21	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:23%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Finformation-education-communication-iec%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed985a	(from https://doj.gov.in/information-education-communication-iec/)
15:06:22	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:23%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Finformation-education-communication-iec%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embede525	(from https://doj.gov.in/information-education-communication-iec/)
